,Senador,Asistencia,Inasistencias justificadas
0,"Allamand Zavala, Andrés",0.0,0.0
1,"Allende Bussi, Isabel",91.0,4.0
2,"Alvear Valenzuela, Soledad",86.0,8.0
3,"Bianchi Chelech, Carlos",90.0,0.0
4,"Cantero Ojeda, Carlos",87.0,7.0
5,"Chadwick Piñera, Andrés",35.0,0.0
6,"Chahuán Chahuán, Francisco",97.0,0.0
7,"Coloma Correa, Juan Antonio",94.0,3.0
8,"Escalona Medina, Camilo",96.0,0.0
9,"Espina Otero, Alberto",88.0,5.0
10,"Frei Ruiz-Tagle, Eduardo",79.0,0.0
11,"García Huidobro Sanfuentes, AlejandroSenador(a) desde sesión 37 de legislatura 359",58.0,0.0
12,"García Ruminot, José",94.0,0.0
13,"Girardi Lavín, Guido",87.0,4.0
14,"Gómez Urrutia, José Antonio",97.0,0.0
15,"Horvath Kiss, Antonio",93.0,0.0
16,"Kuschel Silva, Carlos Ignacio",87.0,0.0
17,"Lagos Weber, Ricardo",97.0,0.0
18,"Larraín Fernández, Hernán",91.0,4.0
19,"Larrain Peña, Carlos",88.0,0.0
20,"Letelier Morel, Juan Pablo",88.0,1.0
21,"Longueira Montes, Pablo",29.0,0.0
22,"Matthei Fornet, Evelyn",0.0,0.0
23,"Muñoz Aburto, Pedro",91.0,0.0
24,"Navarro Brain, Alejandro",78.0,0.0
25,"Novoa Vásquez, Jovino",89.0,0.0
26,"Orpis Bouchon, Jaime",96.0,0.0
27,"Pérez San Martín, Lily",64.0,33.0
28,"Pérez Varela, Víctor",89.0,0.0
29,"Pizarro Soto, Jorge",88.0,0.0
30,"Prokurica Prokurica, Baldo",94.0,0.0
31,"Quintana Leal, Jaime",95.0,0.0
32,"Rincón González, Ximena",97.0,0.0
33,"Rossi Ciocca, Fulvio",88.0,0.0
34,"Ruiz-Esquide Jara, Mariano",94.0,0.0
35,"Sabag Castillo, Hosaín",97.0,0.0
36,"Tuma Zedán, Eugenio",93.0,0.0
37,"Uriarte Herrera, Gonzalo",93.0,0.0
38,"Von Baer Jahn, EnaSenador(a) desde sesión 37 de legislatura 359",58.0,0.0
39,"Walker Prieto, Ignacio",84.0,2.0
40,"Walker Prieto, Patricio",89.0,0.0
41,"Zaldívar Larraín, Andrés",92.0,0.0
